site,price,ts,item,currency,region,device
agoda,166612,2025-08-21T13:22:12,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145786,2025-08-21T13:22:12,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T13:22:36,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-21T13:22:36,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166611,2025-08-21T15:00:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T15:00:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T15:00:51,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-21T15:00:56,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,145773,2025-08-21T16:05:12,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166611,2025-08-21T16:05:12,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,166612,2025-08-21T16:05:36,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,168882,2025-08-21T16:05:41,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,145773,2025-08-21T16:32:29,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166611,2025-08-21T16:32:29,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T16:32:53,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-21T16:32:59,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,145773,2025-08-21T17:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166611,2025-08-21T17:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T17:00:45,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,184939,2025-08-21T17:00:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,145773,2025-08-21T17:36:28,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166611,2025-08-21T17:36:28,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T17:37:01,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,168836,2025-08-21T17:37:05,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,168926,2025-08-21T18:00:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166611,2025-08-21T18:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T18:00:47,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-21T18:00:47,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,145773,2025-08-21T18:30:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166612,2025-08-21T18:30:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T18:30:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,184939,2025-08-21T18:30:48,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,166612,2025-08-21T19:00:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T19:00:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T19:00:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-21T19:00:47,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166612,2025-08-21T19:19:50,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T19:19:50,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T19:20:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,145773,2025-08-21T19:30:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,166612,2025-08-21T19:30:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,184939,2025-08-21T19:30:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,184939,2025-08-21T19:30:48,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,166612,2025-08-21T20:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T20:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T20:00:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,184939,2025-08-21T20:00:48,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,166612,2025-08-21T20:30:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T20:30:23,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-21T20:30:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,168894,2025-08-21T20:30:50,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166612,2025-08-21T23:44:19,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-21T23:44:19,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,314886,2025-08-21T23:44:44,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,168894,2025-08-21T23:44:49,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166612,2025-08-22T00:00:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-22T00:00:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-22T00:00:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-22T00:00:47,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166612,2025-08-22T00:30:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-22T00:30:21,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,184939,2025-08-22T00:30:45,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
agoda,184939,2025-08-22T00:30:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,pc
agoda,166612,2025-08-22T01:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,mobile
agoda,145773,2025-08-22T01:00:22,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,KR,pc
agoda,314886,2025-08-22T01:00:46,KoreanaHotel_2025-11-12_to_2025-11-14_2adults_1room,KRW,US,mobile
