site,item,price,currency,meta,region,device,ts
amazon,/dp/B09BWFX1L6,127.0,USD,"{""raw_price_text"": ""$1.27"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T13:38:08
amazon,/dp/B09BWFX1L6,159.0,USD,"{""raw_price_text"": ""$1.59"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T13:38:09
amazon,/dp/B09BWFX1L6,127.0,USD,"{""raw_price_text"": ""$1.27"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T13:38:16
amazon,/dp/B09BWFX1L6,159.0,USD,"{""raw_price_text"": ""$1.59"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T13:38:16
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T17:01:22
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T17:01:22
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T17:01:26
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T17:01:29
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T19:15:50
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T19:15:52
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T19:15:55
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T19:15:57
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T19:21:30
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T19:21:30
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T19:21:35
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T19:21:36
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T19:38:08
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T19:38:08
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T19:38:12
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T19:38:13
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",KR,pc,2025-08-18T19:43:12
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",KR,mobile,2025-08-18T19:43:13
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6?th=1""}",US,pc,2025-08-18T19:43:17
amazon,/dp/B09BWFX1L6,22.86,USD,"{""raw_price_text"": ""$22.86"", ""url"": ""https://www.amazon.com/dp/B09BWFX1L6""}",US,mobile,2025-08-18T19:43:18
