site,price,ts,item,currency,region,device
kayak,283031,2025-08-20T21:55:42,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,306200,2025-08-20T21:55:44,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T21:56:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T21:56:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:00:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T22:00:53,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:00:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:01:05,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T22:10:51,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:10:59,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T22:11:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:11:17,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T22:21:01,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:21:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:21:28,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,288696,2025-08-20T22:31:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T22:31:04,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:31:18,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:31:21,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T22:40:39,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T22:40:47,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:40:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T22:40:57,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:50:50,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T22:51:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T22:51:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283031,2025-08-20T22:51:10,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283031,2025-08-20T23:00:38,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283031,2025-08-20T23:00:50,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283031,2025-08-20T23:01:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,288696,2025-08-20T23:01:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,282735,2025-08-21T02:23:50,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282735,2025-08-21T02:23:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282735,2025-08-21T02:24:24,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283757,2025-08-21T13:23:47,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282732,2025-08-21T13:23:55,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282732,2025-08-21T13:24:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282732,2025-08-21T13:24:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,282732,2025-08-21T15:01:14,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282732,2025-08-21T15:01:14,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282732,2025-08-21T15:01:35,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282732,2025-08-21T15:01:36,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,282732,2025-08-21T16:04:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282732,2025-08-21T16:04:04,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282732,2025-08-21T16:04:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282732,2025-08-21T16:04:27,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281547,2025-08-21T17:00:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281547,2025-08-21T17:01:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281547,2025-08-21T17:01:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,302200,2025-08-21T17:01:43,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281547,2025-08-21T17:31:03,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281547,2025-08-21T17:31:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281547,2025-08-21T17:31:23,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281547,2025-08-21T17:31:29,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281547,2025-08-21T18:00:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281547,2025-08-21T18:01:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281547,2025-08-21T18:01:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281547,2025-08-21T18:01:33,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281547,2025-08-21T18:30:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281547,2025-08-21T18:31:11,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281547,2025-08-21T18:31:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281547,2025-08-21T19:01:07,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281547,2025-08-21T19:01:10,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281547,2025-08-21T19:01:28,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281547,2025-08-21T19:01:33,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-21T19:31:05,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283753,2025-08-21T19:31:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283753,2025-08-21T19:31:30,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283753,2025-08-21T19:31:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-21T20:01:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283753,2025-08-21T20:01:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283753,2025-08-21T20:01:29,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-21T20:01:39,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283753,2025-08-21T20:31:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283753,2025-08-21T20:31:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283753,2025-08-21T20:31:30,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-21T20:31:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283753,2025-08-21T23:45:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,327012,2025-08-21T23:45:10,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283753,2025-08-21T23:45:32,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-21T23:45:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283753,2025-08-22T00:01:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283753,2025-08-22T00:01:11,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283753,2025-08-22T00:01:33,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283753,2025-08-22T00:01:36,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T00:31:01,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T00:31:07,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T00:31:23,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T00:31:36,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T01:00:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T01:01:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T01:01:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T01:01:28,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T01:30:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,302200,2025-08-22T01:31:12,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T01:31:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T01:31:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T02:00:54,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T02:01:05,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T02:01:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T02:01:26,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T02:31:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T02:31:30,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T02:31:40,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T02:31:51,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T03:00:55,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T03:01:07,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T03:01:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T03:01:29,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,290475,2025-08-22T03:30:59,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T03:31:12,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T03:31:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T03:31:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T04:00:55,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T04:01:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T04:01:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T04:01:32,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T04:37:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T04:38:03,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T04:38:57,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T05:00:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T05:01:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T05:01:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T05:01:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,296200,2025-08-22T05:30:54,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T05:31:12,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T05:31:35,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T05:32:03,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T06:00:54,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T06:01:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T06:01:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T06:30:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T06:31:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,285531,2025-08-22T06:31:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T06:31:30,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T07:00:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T07:01:06,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,306200,2025-08-22T07:01:21,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T07:01:27,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T07:30:54,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T07:31:04,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T07:31:17,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T07:31:25,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T08:01:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T08:01:11,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T08:01:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T08:31:04,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T08:31:05,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T08:31:26,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T08:31:27,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,290495,2025-08-22T09:07:43,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T09:07:52,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T09:08:05,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T09:08:13,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T09:31:23,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T09:31:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T09:31:43,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T10:00:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T10:01:03,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T10:01:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T10:02:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T10:30:56,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T10:31:11,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T10:31:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T10:31:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T11:00:58,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T11:01:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T11:01:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T11:01:30,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,283768,2025-08-22T11:31:00,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,283768,2025-08-22T11:31:01,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,283768,2025-08-22T11:31:22,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,283768,2025-08-22T11:31:23,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
