site,price,ts,item,currency,region,device
kayak,282871,2025-08-21T14:00:14,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282871,2025-08-21T14:00:20,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282871,2025-08-21T14:00:36,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282871,2025-08-21T14:00:41,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,282871,2025-08-21T15:01:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282871,2025-08-21T15:01:11,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282871,2025-08-21T15:01:31,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282871,2025-08-21T15:01:37,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,282871,2025-08-21T16:00:09,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,282871,2025-08-21T16:00:17,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,282871,2025-08-21T16:00:32,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,282871,2025-08-21T16:00:42,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281686,2025-08-21T17:00:17,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281686,2025-08-21T17:00:19,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281686,2025-08-21T17:00:41,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281686,2025-08-21T17:00:43,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,mobile
kayak,281686,2025-08-21T17:15:24,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281686,2025-08-21T17:15:32,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,281686,2025-08-21T17:15:48,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
kayak,281686,2025-08-21T17:30:08,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,mobile
kayak,281686,2025-08-21T17:30:16,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,KR,pc
kayak,284159,2025-08-21T17:30:34,ICN-BWN_2025-11-12_2adults_nonstop_oneway,KRW,US,pc
